timestamp,bpm
2025-12-28 20:52:59 -0800,51.0
2025-12-30 18:32:47 -0800,48.0
2025-12-29 21:56:16 -0800,48.0
2025-12-31 15:56:11 -0800,49.0
2026-01-01 22:42:08 -0800,47.0
2026-01-02 23:59:12 -0800,51.0
2026-01-03 23:53:49 -0800,48.0
2026-01-04 23:45:20 -0800,52.0
2026-01-05 23:53:14 -0800,50.0
2026-01-06 21:08:35 -0800,47.0
2026-01-07 18:25:03 -0800,44.0
2026-01-08 15:12:29 -0800,46.0
2026-01-09 18:26:29 -0800,50.0
2026-01-10 22:23:34 -0800,48.0
2026-01-11 23:56:03 -0800,47.0
2026-01-12 20:40:40 -0800,47.0
2026-01-13 10:58:02 -0800,48.0
2026-01-14 19:10:03 -0800,47.0
2026-01-15 22:01:23 -0800,46.0
2026-01-16 11:41:16 -0800,47.0
2026-01-17 23:31:55 -0800,51.0
2026-01-18 22:28:38 -0800,53.0
2026-01-19 18:49:29 -0800,48.0
2026-01-20 15:11:20 -0800,46.0
2026-01-21 17:49:10 -0800,46.0
2026-01-22 17:08:27 -0800,47.0
2026-01-23 16:58:48 -0800,48.0
2026-01-24 23:59:07 -0800,49.0
2026-01-25 23:59:14 -0800,43.0
2026-01-26 20:59:15 -0800,47.0
2026-01-27 23:56:25 -0800,47.0
2026-01-28 22:15:25 -0800,47.0
2026-01-29 21:01:06 -0800,47.0
2026-01-30 14:05:04 -0800,52.0
2026-01-31 14:29:54 -0800,50.0
2026-02-01 23:53:27 -0800,51.0
2026-02-02 23:54:44 -0800,47.0
2026-02-03 17:23:47 -0800,48.0
2026-02-04 15:24:18 -0800,44.0
2026-02-05 18:33:51 -0800,51.0
2026-02-06 17:43:14 -0800,53.0
2026-02-07 19:45:49 -0800,54.0
2026-02-08 12:24:39 -0800,51.0
2026-02-10 19:30:33 -0800,49.0
2026-02-11 13:17:42 -0800,49.0
2026-02-12 14:14:26 -0800,52.0
2026-02-14 15:35:08 -0800,67.0
